Cat,Date,Status,KPI,Sub-KPI,Line,Duration,Freq,%,Target
Performance,Apr-26,Target,Machine Breakdown,,CONROD,,,0.0400,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,CAMSHAFT,,,0.0250,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,CRANKSHAFT,,,0.0250,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,CYL HEAD,,,0.0150,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,CYL BLOCK,,,0.0600,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,REAR AXLE HOUSING 13,,,0.0200,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,END YOKE,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,INNER SHAFT,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,CENTER BEARING,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,NYLON COATED,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,FLANGE,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,SLIDING,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,COUPLING,,,0.0150,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,SUB ASSY Y230,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,Y230 INTER AXLE/CENTER BEARING,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,REAR AXLE HOUSING 17,,,0.0300,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,E/G LINE,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,AXLE ASSY,,,0.0050,"1,5%"
Performance,Apr-26,Target,Machine Breakdown,,TRANSMISI,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,CONROD,,,0.0400,"1,5%"
Performance,May-26,Target,Machine Breakdown,,CAMSHAFT,,,0.0250,"1,5%"
Performance,May-26,Target,Machine Breakdown,,CRANKSHAFT,,,0.0250,"1,5%"
Performance,May-26,Target,Machine Breakdown,,CYL HEAD,,,0.0150,"1,5%"
Performance,May-26,Target,Machine Breakdown,,CYL BLOCK,,,0.0600,"1,5%"
Performance,May-26,Target,Machine Breakdown,,REAR AXLE HOUSING 13,,,0.0200,"1,5%"
Performance,May-26,Target,Machine Breakdown,,END YOKE,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,INNER SHAFT,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,CENTER BEARING,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,NYLON COATED,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,FLANGE,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,SLIDING,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,COUPLING,,,0.0150,"1,5%"
Performance,May-26,Target,Machine Breakdown,,SUB ASSY Y230,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,Y230 INTER AXLE/CENTER BEARING,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,REAR AXLE HOUSING 17,,,0.0300,"1,5%"
Performance,May-26,Target,Machine Breakdown,,E/G LINE,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,AXLE ASSY,,,0.0050,"1,5%"
Performance,May-26,Target,Machine Breakdown,,TRANSMISI,,,0.0050,"1,5%"
Performance,Jun-26,Target,Machine Breakdown,,CONROD,,,0.0400,"1,5%"
Performance,Jun-26,Target,Machine Breakdown,,CAMSHAFT,,,0.0250,"1,5%"
Performance,Jun-26,Target,Machine Breakdown,,CRANKSHAFT,,,0.0250,"1,5%"
Performance,Jun-26,Target,Machine Breakdown,,CYL HEAD,,,0.0150,"1,5%"
Performance,Jun-26,Target,Machine Breakdown,,CYL BLOCK,,,0.0600,"1,5%"
Performance,Jun-26,Target,Machine Breakdown,,REAR AXLE HOUSING 13,,,0.0200,"1,5%"
Performance,Jun-26,Target,Machine Breakdown,,END YOKE,,,0.0050,"1,5%"
Performance,Jun-26,Target,Machine Breakdown,,INNER SHAFT,,,0.0050,"1,5%"
